project;class;from;to;metric
PMD;net.sourceforge.pmd.rules.design.ExceptionAsFlowControl;List;Set;1.0
PMD;net.sourceforge.pmd.rules.design.GenericClassCounterRule;List;Map;0.58
PMD;net.sourceforge.pmd.rules.design.GenericClassCounterRule;List;Set;0.0
PMD;net.sourceforge.pmd.rules.design.ImmutableField;List;Map;0.0
PMD;net.sourceforge.pmd.rules.design.ImmutableField;List;Set;0.0
PMD;net.sourceforge.pmd.rules.design.ImmutableField;Map;List;1.0
PMD;net.sourceforge.pmd.rules.design.ImmutableField;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.design.ImmutableField;Set;List;0.0
PMD;net.sourceforge.pmd.rules.design.ImmutableField;Set;Map;0.72
PMD;net.sourceforge.pmd.rules.design.NonThreadSafeSingleton;List;Map;0.0
PMD;net.sourceforge.pmd.rules.design.NonThreadSafeSingleton;List;Set;0.85
PMD;net.sourceforge.pmd.rules.design.NonThreadSafeSingleton;Map;List;0.76
PMD;net.sourceforge.pmd.rules.design.NonThreadSafeSingleton;Map;Set;0.77
PMD;net.sourceforge.pmd.rules.design.NpathComplexity;List;Map;0.58
PMD;net.sourceforge.pmd.rules.design.NpathComplexity;List;Set;0.0
PMD;net.sourceforge.pmd.rules.design.OnlyOneReturnRule;List;Map;0.93
PMD;net.sourceforge.pmd.rules.design.OnlyOneReturnRule;List;Set;0.0
PMD;net.sourceforge.pmd.rules.design.PositionalIteratorRule;List;Map;1.0
PMD;net.sourceforge.pmd.rules.design.PositionalIteratorRule;List;Set;0.0
PMD;net.sourceforge.pmd.rules.design.PreserveStackTrace;List;Map;0.0
PMD;net.sourceforge.pmd.rules.design.PreserveStackTrace;List;Set;0.85
PMD;net.sourceforge.pmd.rules.design.PreserveStackTrace;Map;List;1.0
PMD;net.sourceforge.pmd.rules.design.PreserveStackTrace;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.design.SingularField;List;Map;0.0
PMD;net.sourceforge.pmd.rules.design.SingularField;List;Set;0.85
PMD;net.sourceforge.pmd.rules.design.TooManyFields;Map;List;0.78
PMD;net.sourceforge.pmd.rules.design.TooManyFields;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.design.UnnecessaryLocalBeforeReturn;List;Map;0.0
PMD;net.sourceforge.pmd.rules.design.UnnecessaryLocalBeforeReturn;List;Set;0.0
PMD;net.sourceforge.pmd.rules.design.UnnecessaryLocalBeforeReturn;Map;List;1.0
PMD;net.sourceforge.pmd.rules.design.UnnecessaryLocalBeforeReturn;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.design.UnsynchronizedStaticDateFormatter;Set;List;0.0
PMD;net.sourceforge.pmd.rules.design.UnsynchronizedStaticDateFormatter;Set;Map;1.0
PMD;net.sourceforge.pmd.rules.imports.DontImportJavaLang;Set;List;0.0
PMD;net.sourceforge.pmd.rules.imports.DontImportJavaLang;Set;Map;1.0
PMD;net.sourceforge.pmd.rules.imports.DuplicateImportsRule;Set;List;0.0
PMD;net.sourceforge.pmd.rules.imports.DuplicateImportsRule;Set;Map;0.77
PMD;net.sourceforge.pmd.rules.imports.UnusedImportsRule;Set;List;0.0
PMD;net.sourceforge.pmd.rules.imports.UnusedImportsRule;Set;Map;0.62
PMD;net.sourceforge.pmd.rules.junit.JUnitAssertionsShouldIncludeMessage;List;Map;1.0
PMD;net.sourceforge.pmd.rules.junit.JUnitAssertionsShouldIncludeMessage;List;Set;0.0
PMD;net.sourceforge.pmd.rules.junit.TestClassWithoutTestCases;List;Map;1.0
PMD;net.sourceforge.pmd.rules.junit.TestClassWithoutTestCases;List;Set;0.0
PMD;net.sourceforge.pmd.rules.migration.JUnitUseExpected;List;Map;0.39
PMD;net.sourceforge.pmd.rules.migration.JUnitUseExpected;List;Set;0.6
PMD;net.sourceforge.pmd.rules.migration.JUnitUseExpected;Set;List;0.0
PMD;net.sourceforge.pmd.rules.migration.JUnitUseExpected;Set;Map;1.0
PMD;net.sourceforge.pmd.rules.migration.UnnecessaryCast;Set;List;0.0
PMD;net.sourceforge.pmd.rules.migration.UnnecessaryCast;Set;Map;1.0
PMD;net.sourceforge.pmd.rules.optimization.LocalVariableCouldBeFinal;Map;List;1.0
PMD;net.sourceforge.pmd.rules.optimization.LocalVariableCouldBeFinal;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.optimization.MethodArgumentCouldBeFinal;Map;List;1.0
PMD;net.sourceforge.pmd.rules.optimization.MethodArgumentCouldBeFinal;Map;Set;1.0
PMD;net.sourceforge.pmd.rules.optimization.UnnecessaryWrapperObjectCreation;Set;List;0.0
PMD;net.sourceforge.pmd.rules.optimization.UnnecessaryWrapperObjectCreation;Set;Map;1.0
PMD;net.sourceforge.pmd.rules.regex.RegexHelper;List;Map;0.58
PMD;net.sourceforge.pmd.rules.regex.RegexHelper;List;Set;0.0
PMD;net.sourceforge.pmd.rules.strictexception.AvoidCatchingThrowable;List;Map;0.0
PMD;net.sourceforge.pmd.rules.strictexception.AvoidCatchingThrowable;List;Set;1.0
PMD;net.sourceforge.pmd.rules.strictexception.ExceptionSignatureDeclaration;List;Map;0.0
PMD;net.sourceforge.pmd.rules.strictexception.ExceptionSignatureDeclaration;List;Set;0.0
