"project";"class";"from";"to";"category";"metric"
"PMD";"net.sourceforge.pmd.util.StringUtil";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.util.StringUtil";"List";"Map";"other";0.93
"PMD";"net.sourceforge.pmd.util.StringUtil";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.util.StringUtil";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.util.viewer.model.ViewerModel";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.util.viewer.model.ViewerModel";"List";"Map";"deletion";0.0
"PMD";"net.sourceforge.pmd.util.viewer.model.ViewerModel";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.util.viewer.model.ViewerModel";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.util.viewer.model.ViewerModel";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.util.viewer.model.ViewerModel";"List";"Set";"deletion";0.0
"PMD";"net.sourceforge.pmd.util.viewer.model.ViewerModel";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.util.viewer.model.ViewerModel";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.rules.regex.RegexHelper";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.regex.RegexHelper";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.rules.regex.RegexHelper";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.rules.regex.RegexHelper";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.rules.AvoidReassigningParameters";"Map";"List";"other";1.0
"PMD";"net.sourceforge.pmd.rules.AvoidReassigningParameters";"Map";"Set";"other";1.0
"PMD";"net.sourceforge.pmd.rules.ExcessiveImports";"Set";"List";"insertion";0.0
"PMD";"net.sourceforge.pmd.rules.ExcessiveImports";"Set";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.rules.basic.BooleanInstantiation";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.rules.basic.BooleanInstantiation";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.AbstractJavaRule";"List";"Map";"other";1.0
"PMD";"net.sourceforge.pmd.AbstractJavaRule";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.jaxen.MatchesFunction";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.jaxen.MatchesFunction";"List";"Map";"other";0.93
"PMD";"net.sourceforge.pmd.jaxen.MatchesFunction";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.jaxen.MatchesFunction";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.cpd.FortranTokenizer";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.cpd.FortranTokenizer";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.util.designer.Designer.DFAListener";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.util.designer.Designer.DFAListener";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.rules.UnusedPrivateFieldRule";"Map";"List";"other";1.0
"PMD";"net.sourceforge.pmd.rules.UnusedPrivateFieldRule";"Map";"Set";"other";1.0
"PMD";"net.sourceforge.pmd.ast.ASTVariableDeclaratorId";"Map";"List";"access";0.0
"PMD";"net.sourceforge.pmd.ast.ASTVariableDeclaratorId";"Map";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.RuleSetReference";"Set";"List";"insertion";0.0
"PMD";"net.sourceforge.pmd.RuleSetReference";"Set";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.ast.ASTBlockStatement";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.ast.ASTBlockStatement";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.SignatureDeclareThrowsException";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.typeresolution.rules.SignatureDeclareThrowsException";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.jaxen.TypeOfFunction";"List";"Map";"search";1.0
"PMD";"net.sourceforge.pmd.jaxen.TypeOfFunction";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.jaxen.TypeOfFunction";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.jaxen.TypeOfFunction";"List";"Set";"search";0.0
"PMD";"net.sourceforge.pmd.jaxen.TypeOfFunction";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.jaxen.TypeOfFunction";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.symboltable.NameFinder";"List";"Map";"access";0.75
"PMD";"net.sourceforge.pmd.symboltable.NameFinder";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.symboltable.NameFinder";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.symboltable.NameFinder";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.symboltable.NameFinder";"List";"Set";"insertion";0.0
"PMD";"net.sourceforge.pmd.symboltable.NameFinder";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder";"List";"Map";"access";0.75
"PMD";"net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder";"List";"Map";"deletion";1.0
"PMD";"net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder";"List";"Map";"other";0.0
"PMD";"net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder";"List";"Set";"access";1.0
"PMD";"net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder";"List";"Set";"deletion";1.0
"PMD";"net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder";"List";"Set";"insertion";1.0
"PMD";"net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder";"List";"Set";"other";0.0
"PMD";"net.sourceforge.pmd.dfa.DaaRule";"List";"Map";"access";0.0
"PMD";"net.sourceforge.pmd.dfa.DaaRule";"List";"Map";"insertion";1.0
"PMD";"net.sourceforge.pmd.dfa.DaaRule";"List";"Map";"other";0.0
